@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'konvoi truk polisi sambar ibu anak',depok,29/4/2013
'tabrakan maut 2 tewas belas kritis',konawe,25/5/2013
'tewas ibu 2 balita sopir pikap maut polisi',pasuruan,7/8/2015
'truk tabrak pikap angkut anak sekolah ajar tewas','rokan hulu',7/8/2015
'delapan mobil tabrakan runtun',bukittinggi,8/8/2015
'mobil rombong kasir alfamart jurang tewas',magetan,12/8/2015
'2 5 daki gunung meru alami celaka',baru,10/8/2015
'bangkai sukhoi evakuasi gunung salak',puncak,9/5/2012
'kronologi jatuh pesawat trigana air versi kemenhub',jayapura,16/8/2015
'pesawat komala air jatuh papua tewas luka',yahukimo,12/8/2015
'pesawat trigana air jatuh tabrak gunung papua','jakarta timur',16/8/2015
'mobil anggota dewan celaka 2 tewas',bekasi,27/5/2013
'tabrak tiang jambret bekuk','jakarta barat',18/4/2013
'gadis daki tewas timpa batu meru',sukabumi,12/8/2015
'mobil vs kereta api tewas',jember,16/8/2015
'caleg tewas lbh aceh nilai tegak hukum lemah','',27/4/2013
'pukul tni satpam dpp pdip','jakarta selatan',20/4/2013
'86 kabupaten kota indonesia kering','gunung kidul',17/9/2014
'darurat kering',wonogiri,12/8/2015
'kering ancam tani',cirebon,16/8/2015
'kering 700 hektar lahan tani sultra ancam gagal tanam',kolaka,6/8/2015
'kering manfaat air kubang',cirebon,13/8/2015
'kemarau tani kulon progo jual tanah','kulon progo',6/8/2015
'belas kabupaten alami kering',kendal,21/8/2015
'kereta api matarmaja anjlok',malang,24/8/2015
'tertib pasar ricuh 1 tewas','jakarta selatan',18/4/2013
'15 hektar tembakau tumbuh kerdil',pamekasan,14/8/2015
'soundrenaline rusuh',cirebon,20/4/2013
'bekas wali kota tenang vonis 35',salatiga,23/4/2013
'adil priyo sebut terima duit proyek alquran',batu,6/5/2013
'buron adik kandung bupati bekuk','kepulauan sula',22/8/2015
'eks nas sehat tangsel tuntut 5 penjara','tangerang selatan',12/8/2015
'gmni sumut desak wali kota ditahan',medan,20/5/2013
'kades endah korupsi rina iriani',karanganyar,22/5/2013
'kades korup endah kasihani koruptor kelas kakap',karanganyar,22/5/2013
'andi ditahan kpk buka','',25/5/2013
'kasus bioremediasi sarat kriminalisasi','',18/4/2013
'kasus century kpk periksa raden pardede','',27/5/2013
'korupsi bingkis raya 3 pns',jayapura,18/6/2013
'korupsi bioremediasi ricksy vonis 5','',7/5/2013
'korupsi dana bansos kadis tuntut 46 penjara','seram bagian barat',6/8/2015
'korupsi jaksa data harta tenriadjeng',palopo,5/5/2013
'direktur rsud jeblos penjara',trenggalek,8/8/2015
'korupsi kades endah bilang stress',semarang,22/5/2013
'kapolri surat dakwa djoko susilo','',23/4/2013
'dakwa korupsi alquran tuntut 12 5',batu,6/5/2013
'bupati tetap pimpin demokrat',batanghari,15/5/2013
'sangkut korupsi ketua mui kota bakal pecat',cilegon,22/8/2015
'pelaku duga suap mandailing natal tiba kpk','mandailing natal',14/5/2013
'enam daerah alami krisis air bersih',bandung,7/8/2015
'gerak tanah',majalengka,15/4/2013
'jasad korban longsor temu',garut,20/4/2013
'rangka anggota polisi korban longsor gunung kuda temu',cirebon,14/8/2015
'4 jenazah karyawan freeport temu',mimika,21/5/2013
'longsor terjang',tasikmalaya,27/5/2013
'perintah minta bantu evakuasi longsor freeport','',20/5/2013
'madura tewas timbun longsor',pamekasan,14/8/2015
'basri izin lapas kabur',palu,19/4/2013
'2 anggota jaring narkoba internasional tewas',medan,23/4/2013
'2 wn papua nugini tangkap bawa ganja 2 kg batas',keerom,22/8/2015
'bawa narkoba anggota dewan lampung ditahan','lampung selatan',25/5/2013
'bawa narkoba wisatawan jerman vonis 5 bui',denpasar,8/5/2013
'bawa sabu kotak permen residivis tangkap',mataram,13/8/2015
'bawa sabu nilai rp1 m oknum polisi bekuk',dumai,6/5/2013
'bnn tangkap jabat rutan nyambi dagang sabu',sidoarjo,23/5/2013
'bnn ungkap pabrik ekstasi','jakarta barat',12/6/2013
'desertir polisi ciduk pesta sabu',bekasi,30/4/2013
'duga pesta narkoba enam pria wanita tangkap',baru,5/8/2015
'narkoba sita polisi penggerebekan',medan,18/5/2013
'konsumsi sabu mahasiswa malaysia tangkap',yogyakarta,''
'polisi tangkap edar ganja',medan,7/8/2015
'samar beli polisi ringkus 4 edar sabu',medan,24/8/2015
'muliadi kurir sabu obati tumor sang ibu',bireuen,24/82015
'pabrik ekstasi digrebek',medan,17/5/2013
'pabrik ekstasi kalideres kendali tahan','',12/6/2013
'edar sabu bekuk tidur pos tpr',wajo,6/8/2015
'pesta sabu kosan oknum polisi bekuk',bima,7/8/2015
'polisi gerebek pesta miras narkoba',makassar,22/8/2015
'simpan ganja 15 kg irt bekuk polisi',batu,6/8/2015
'tabrak polisi razia pria pergok bawa sabu',padang,24/8/2015
'tangkap nyabu kesbangpol nursaid rehabilitasi','polewali mandar',7/8/2015
'langgar lapis bos pabrik panci sepat',lebak,4/5/2013
'palsu edar turun','',23/4/2013
'briptu rani lindung dpo',mojokerto,25/5/2013
